laptop_ID,SSD,HDD,Hybrid,Flash Storage
165,256,0,0,0
166,256,0,0,0
167,256,0,0,0
168,0,1024,0,0
169,256,1024,0,0
171,128,1024,0,0
172,256,0,0,0
173,0,500,0,0
175,0,2048,0,0
176,0,500,0,0
177,0,500,0,0
179,0,1024,0,0
180,128,0,0,0
181,512,1024,0,0
182,128,1024,0,0
183,256,0,0,0
184,256,2048,0,0
187,128,0,0,0
188,256,0,0,0
189,512,0,0,0
190,512,0,0,0
191,256,0,0,0
192,256,0,0,0
193,128,1024,0,0
194,1024,0,0,0
195,0,0,0,32
196,256,0,0,0
198,0,1024,0,0
199,0,1024,0,0
201,512,0,0,0
202,256,1024,0,0
203,256,0,0,0
204,512,1024,0,0
205,128,0,0,0
206,0,1024,0,0
207,512,1024,0,0
208,256,1024,0,0
209,512,0,0,0
210,0,1024,0,0
212,256,0,0,0
213,256,0,0,0
215,0,1024,0,0
216,256,1024,0,0
217,0,500,0,0
218,256,0,0,0
220,256,0,0,0
221,0,1024,0,0
222,256,0,0,0
223,256,0,0,0
224,512,0,0,0
225,256,0,0,0
226,256,0,0,0
227,256,0,0,0
228,0,1024,0,0
229,256,1024,0,0
230,256,0,0,0
231,0,1024,0,0
232,256,0,0,0
233,256,500,0,0
234,0,1024,0,0
235,0,1024,0,0
236,0,500,0,0
237,256,1024,0,0
238,256,0,0,0
239,256,0,0,0
240,256,0,0,0
241,0,1024,0,0
244,256,0,0,0
245,128,0,0,0
246,128,1024,0,0
247,128,1024,0,0
248,256,0,0,0
249,256,0,0,0
250,128,2048,0,0
251,0,1024,0,0
252,256,0,0,0
253,0,500,0,0
254,512,0,0,0
255,0,1024,0,0
256,256,1024,0,0
257,0,1024,0,0
259,256,0,0,0
260,256,0,0,0
262,0,1024,0,0
263,512,1024,0,0
264,512,0,0,0
265,128,1024,0,0
266,256,0,0,0
267,0,500,0,0
268,0,1024,0,0
269,0,1024,0,0
270,256,0,0,0
271,512,0,0,0
272,0,1024,0,0
273,0,1024,0,0
274,256,0,0,0
275,512,0,0,0
276,256,1024,0,0
277,256,0,0,0
278,512,0,0,0
279,0,500,0,0
280,0,1024,0,0
281,128,1024,0,0
283,0,1024,0,0
284,0,2048,0,0
285,128,1024,0,0
286,0,1024,0,0
287,256,0,0,0
288,256,0,0,0
289,256,0,0,0
290,0,1024,0,0
291,256,0,0,0
292,256,0,0,0
293,256,1024,0,0
294,0,1024,0,0
295,16,0,0,0
296,0,1024,0,0
298,256,0,0,0
299,256,0,0,0
300,0,1024,0,0
301,256,0,0,0
302,256,0,0,0
304,512,0,0,0
305,128,0,0,0
306,256,1024,0,0
307,0,1024,0,0
308,0,2048,0,0
309,128,1024,0,0
310,0,1024,0,0
311,256,0,0,0
312,256,0,0,0
313,128,1024,0,0
314,0,1024,0,0
315,256,0,0,0
316,1024,0,0,0
317,256,1024,0,0
318,256,0,0,0
320,128,1024,0,0
321,1024,0,0,0
322,0,0,0,16
324,0,0,0,128
326,0,1024,0,0
327,256,0,0,0
329,0,1024,0,0
330,256,0,0,0
331,0,0,0,32
332,0,1024,0,0
